Problem ID,Problem,Solution,Grading guidelines,Category,Level,Short Answer,Source
PB-Basic-001,"Determine all functions $f: \mathbb{Z} \rightarrow \mathbb{Z}$ such that, for all $x, y \in \mathbb{Z}$, we have \[ f(2x)+2f(y)=f(f(x+y)).\]","By taking $x = 0$, we get $f(0) + 2f(y) = f(f(y))$ for all $y\in \mathbb{Z}$. So, the problem becomes:
 $$ f(2x) + 2f(y) = f(0) + 2f(x + y) $$
 Taking $x = 1$ for this one, we quickly obtain that $2(f(y+1) - f(y)) = f(2) - f(0) \Leftrightarrow f(y+1)-f(y) = (f(2)-f(0))/2$, so $f$ is linear, that is there exists $k,c$ such that $f(x) = kx+c$. Plug this back into the original equation, we see $f(x) = 2x+c$ and $f(x)=0$ are all possible solutions, and these indeed satisfy the given condition","(Partial)
 1. Guessed the solution correctly
 2. Proved $f(f(y)) = 2f(y) + f(0)$ and $f(2x) + 2f(0) = f(f(x))$
(Almost)
 1. Solved correctly, but did not check that the finding candidates are indeed the solutions to the given equation.",Algebra,IMO-easy,$f(x) = 0$ and $f(x) = 2x + c$ for all integer $x$ and some constant $c$.,"(Modified) IMO 2019, P1"
PB-Basic-002,"Show that $x^2 + y^2 + z^2 + t^2 \ge xyzt$ for any positive real numbers $x, y, z, t$ that satisfy $2(x + y + z + t) \ge xyzt$.","Assume the contrary that $xyzt> x^2+y^2+z^2+t^2$. Using AM-GM, we have $xyzt> x^2+y^2+z^2+t^2 \geq 4\sqrt{xyzt}$, which means that $xyzt > 16$. From here, this implies $2(x+y+z+t) >16$ from the condition $2(x+y+z+t) \geq xyzt$.
 However, from Cauchy-Scwarz, we have $x^2+y^2+z^2+t^2 \ge\frac{1}{4}(x+y+z+t)^2>2(x+y+z+t) \geq xyzt$. This is a contradiction.

 Therefore: $x^2+y^2+z^2+t^2\ge xyzt$.","(Partial)
 1. Attempted the ""proof by contradiction"" and made a positive progress based on it.
 2. Applied the AM-GM inequality correctly.
(Almost)
 1. Solution is almost complete, but made minor mistakes which are not negligible.",Algebra,pre-IMO, ,"(Modified)  All-Russian MO 2013, Grade 11, P6"
PB-Basic-003,"Find all functions $f\colon \mathbb{R} \rightarrow \mathbb{R}$ such that for all $a,b \in \mathbb{R}$,
 \[ (b - a)f(f(a)) = a f(a + f(b)). \]""","Let $P(a,b)$ denote the given assertion.
 $P(a,a) \implies f(a+f(a))=0$
 $P(0,b) \implies f(f(0))=0$
 $P(f(0),b) \implies f(0)f(f(0)+f(b))=(b-f(0))f(0)$

 So $f(0)=0$ or $ f(f(0)+f(b))=(b-f(0))$

 If $ f(f(0)+f(b))=(b-f(0))$, setting $b \rightarrow f(b)+b \implies f(b)=-b+f(0)$ and checking we see that $f(a)=-a+k$ truly satisfies the condition
 Suppose now $f(0)=0$

 $P(a,0) \implies f(f(a))=-f(a)$
 So $P(a,b)$ becomes $af(a+f(b))=(a-b)f(a)$
 So $P(a,f(b)+b)$ gives us $f(a)=0$ or $f(a)=-a$

 Finally $f(a)=0, f(a)=-a+k$ where $k$ is a constant","(Partial)
 1. Proved that either $f(0)=0$ or $f(x)=-x+k$ for some constant $k$
(Almost)
 1. Solved correctly by handling the case $f(0)=0$, but did not check that the candidates are indeed the solutions to given equation.",Algebra,IMO-easy,"$f(x)=0, f(x)=-x+k$ where $k$ is a constant","(Modified) Balkan MO 2023, P1"
PB-Basic-004,"Find all strictly increasing functions $g:\mathbb{R} \to \mathbb{R}$ such that:
 (a) $g$ is surjective
 (b) $g(g(x))=g(x)+20x.$","Note that the function is bijective, so setting $x=0$ gives $g(0)=0$ and since it is strictly increasing, we further derive $g(x)>0$ for $x>0$ and $g(x)<0$ for $x<0$.

 Consider the sequence $u_0 = x, u_{n+1} = g(u_n)$, we have that $u_{n+1} = u_n + 20u_{n-1}$, which gives $u_n = a (-4)^n + b 5^n$ for some real number $a, b$. Moreover, since $g$ is a bijective, there exists a real number $r$ such that $u_{-1} = r$, and so the sequence is well-defined for negative integer $n$ by defining the sequence backward. And since the sequence is increasing, $u_0 > 0$ implies $u_n > 0$ for all integer $n$.

 We will show that $a = 0$, which implies $g(x) = u_1 = 5u_0 = 5x$.

 Indeed, assume that $a > 0$, if $u_0 = x > 0$ then we choose a sufficiently small odd negative integer $n$ such that $(-4/5)^n < -b/a$, this gives $u_n < 0$. However, since $g$ is increasing and $u_0 > 0$, we must have that $u_n > 0$, which is a contradiction. Similarly, if $u_0 = a+b < 0$ then we must have $b < 0$ given $a > 0$, and so for a sufficiently small negative even integer $n$, we have $(-4/5)^n > -b/a$, which gives $u_n > 0$, which is a contradiction. Thus, we must have $a \leq 0$.

 Similarly, we can show that $a < 0$ will lead to a contradiction, and so, we must have $a \geq 0$.

 Together, this implies that $a = 0$. Hence proved.","(Partial)
 1. Proved $g(0)=0$
 2. Constructed the sequence $u_n =g^{(n)}(x)$ and the recurrence relation.
(Almost)
 1. Solved correctly, but did not check that the candidates are indeed the solutions to given equation.",Algebra,IMO-easy,$g(x) = 5x$ for all x,"(Modified) VMO 2012, Day2 P3"
PB-Basic-005,"Let $P$ be a polynomial with real coefficients whose leading coefficient is $1$. Suppose that for all nonzero real numbers $x$, we have $P(x) + P(1/x) = \frac{P(x + 1/x) + P(x - 1/x)}{2}$. Determine all possibilities for $P$.","Substitute $\frac{1}{x}$ in the place of $x$. Comparing with the original equation, one can see that $P(x-\frac{1}{x})=P(-x+\frac{1}{x})$ . This implies that $P$ is even.

 Suppose $\deg P\geq 6$. Let $P(x)= x^n + a x^{n-2} + b x^{n-4} +Q(x)$, where $\deg Q < n-4$. Comparing the coefficient of $x^{n-4}$ in the given condition, we have that $b = \frac{2\binom{n}{2}+2b}{2}$, which is a contradiction. Therefore, $\deg P \leq 4$.

 If $\deg P = 4$, let $P(x) = x^4 + ax^2 +b$. Comparing the constant term, we can conclude that $b=6$. The possible solutions are $P(x) = x^4 +a x^2 +6$ for all real numbers $a$.

 If $\deg P = 2$, let $P(x) = x^2 +a$. Comparing the constant term, we can conclude that $a=0$. The only possible solution is $P(x)=x^2$.

 Therefore, the possible solutions are $P(x)= x^4 +ax^2 +6$, $P(x)=x^2$ which satisfies the condition.","(Partial)
 1. Proved that $P$ is even.
 2. Correctly identified all solutions.
(Almost)
 1. Proved $\deg(P)\le 4$, but did not conclude the proof.",Algebra,IMO-easy,"$P(x)= x^4 +ax^2 +6$, $P(x)=x^2$",(Modified) ELMO 2023 Shortlist A1
PB-Basic-006,"Consider any infinite sequence of integers $c_0, c_1, c_2, \ldots $ such that $c_0 \neq 0$. Prove that for some integer $k \geq 0$, the polynomial $P(x) = \sum_{i = 0}^k c_i x^i$ has fewer than $k$ distinct real roots.","If there exists an integer $k>0$ such that $c_k = 0$, $P(x)=\sum_{i=0}^k c_i x^i$ has less than $k$ roots. So it suffices to see the cases where $c_k \ne 0$ for all integers $k>0$. Let's prove the following lemma:
 If a polynomial $\sum_{i=0}^n a_i x^i$ has $n$ different real roots, $(\frac{a_{1}}{a_0})^2 - 2 \frac{a_{2}}{a_0} \geq n\sqrt[n]{\frac{a_n ^2}{a_0^2}}$

 (Proof) The left hand side is the sum of squares of inverses of all roots. The right hand side is $n$ times the $n$th root of the product of square of inverses of roots. By AM-GM, we can see that the inequality holds.

 Going back to the main proof, let's assume that all $P(x)=\sum_{i=0}^k c_i x^i$ has exactly $k$ distinct real roots.
 By the lemma, $\frac{c_{1}^2 - 2c_0 c_{2}}{\sqrt[n]{c_0^{2n-2}}} \geq n\sqrt[n]{c_n^2}$, which shows that $1\leq c_n^2 \leq (\frac{\frac{c_{1}^2 - 2c_0 c_{2}}{\sqrt[n]{c_0^{2n-2}}}}{n})^n$. We can easily see that the righthandside tends to $0$ as $n$ goes to infinity. It's a contradiction.","(Partial)
 1. Derived a useful inequality of between $c_n$ based on Vieta's formula (along with the proof by contradiction).
(Almost)
 1. Solution is almost complete, but made minor mistakes which are not negligible.",Algebra,IMO-medium, ,(Modified) ELMO 2023 Shortlist A3
PB-Basic-007,"Determine all positive integers $n$ and integer sequences $a_0, a_1,\ldots, a_n$ such that $a_n = 3$ and
 \[f(a_{i-1}) = a_i\]
 for all $i = 1,2,\ldots,n$, where $f(x) = a_n x^n + a_{n-1} x^{n-1} + \cdots + a_1 x + a_0$.","$n=2$ with $\left(a_{0}, a_{1}, a_{2}\right)=(-1,1,3)$.

 We provide a solution when we relax the condition $a_n=3$. When we add back the condition, the only solution is $n=2$ with $\left(a_{0}, a_{1}, a_{2}\right)=(-1,1,3)$.

 When relaxing the condition $a_n=3$, the short answers are $n=1$ with $\left(a_{0}, a_{1}\right)=(2,-2) ; n=2$ with $\left(a_{0}, a_{1}, a_{2}\right)=(-1,1,3)$; or $n$ even with $a_{0}=\cdots=a_{n}=-1$.

 It is clear that $a_{0} \neq 0$ as otherwise $a_{n}=0$. For any $k=1, \ldots, n+1$, let $I_{k}$ be the convex hull of $0, a_{0}, \ldots, a_{k-1}$. We will define $a_{-1}=0$ for convenience.

 We first show that $a_{k}$ is not in the interior of $I_{k}$. Otherwise, let $i, j \in\{-1,0, \ldots, k-$ $1\}$ be such that $a_{i}, a_{j}$ are the endpoints of $I_{k}$. Then as $a_{i}-a_{j} \mid f\left(a_{i}\right)-f\left(a_{j}\right)=$ $a_{i+1}-a_{j+1}$, we know that $a_{i+1}$ and $a_{j+1}$ are also the endpoints of $I_{k}$, and by continuing this argument we eventually get that $a_{k}$ is an endpoint of $I_{k}$, which is a contradiction. A consequence is that the endpoints of $I_{k}$ are $a_{k-2}$ and $a_{k-1}$ unless $a_{k-2}=a_{k-1}$. Now if $a_{i}=0$ for some $i>0$, then it is clear that the nonzero terms of $a_{0}, \ldots, a_{n}$ all have the same sign. Then $f\left(a_{i-1}\right)=0$ gives a contradiction if we take $i$ to be the smallest index with $a_{i}=0$.

 We first assume that $a_{n} \neq a_{0}$. If $\left|a_{i}\right|<2$ for any $i<n$, then we have several possibilities: either $n \leqslant 2$; or $a_{0}, \ldots, a_{n}=-1,1, \ldots,-1,1$, or $a_{0}, \ldots, a_{n}=1,-1, \ldots, 1,-1$, or $a_{0}, \ldots, a_{n}=-1,1,1, \ldots, 1$, or $a_{0}, \ldots, a_{n}=1,-1, \ldots,-1$, for $n>2$. It is easy to verify that the last four cases cannot occur by evaluating $f(1)$. Therefore we have $n=2, a_{0}=-a_{1} \in\{1,-1\}$, or $n=1, a_{0}= \pm 1$. In the first case, we have $a_{2}-a_{1}=f\left(a_{1}\right)-f\left(a_{0}\right)=2 a_{1}^{2}=2$ and so $a_{2}=a_{1}+2$. Therefore $a_{1}=f\left(a_{0}\right)=$ $\left(a_{0}+a_{1}+2\right)+a_{0} a_{1}=2-1=1$, and we get the solution $a_{0}, a_{1}, a_{2}=-1,1,3$. In the second case, we have $a_{1}=f\left(a_{0}\right)= \pm a_{1} \pm 1$, and we get no solution by parity.

 Now if $a_{n} \neq a_{0}$ and $a_{n}$ has the largest absolute value, pick $i<n$ such that $\left|a_{i}\right| \geqslant 2$. Then

 \[
 \left|f\left(a_{i}\right)\right| \geqslant\left|a_{n}\right|\left(\left|a_{i}\right|^{n}-\left|a_{i}\right|^{n-1}-\cdots-1\right) \geqslant\left|a_{n}\right|,
 \]

 and $\left|f\left(a_{i}\right)\right|=\left|a_{i+1}\right|\left|a_{n}\right|$. Therefore all equalities should hold, and we get $a_{0}=\cdots=$ $a_{n-1}=-a_{n}$ and $\left|a_{i}\right|=2$. Note that if $n \geqslant 2$, then $a_{0}=a_{1}$, which shows that

 $a_{0}=\cdots=a_{n}$, which is a contradiction. Therefore $n=1$ and we get $\left(a_{0}, a_{1}\right)=(2,-2)$ or $(-2,2)$. The latter is not a solution, so we get $a_{0}=2$ and $a_{1}=-2$.

 So now in the case that $a_{n} \neq a_{0}$, we may assume that $a_{n}$ does not have the largest absolute value. Let $a_{k}$ be the least index such that $a_{k}=a_{k+1}=\cdots=a_{n}$. Then we must have $\left|a_{k-1}\right|>\left|a_{k}\right|$ as $a_{k-1}$ and $a_{k}$ are the endpoints of $I_{k-1}$. We know that $a_{0} \mid a_{k-1}$ and $a_{0} \mid a_{k}$, and so $\left|a_{k-1}\right| \geqslant\left|a_{k}\right|+\left|a_{0}\right|$. As $a_{k-1} \mid f\left(a_{k-1}\right)-f(0)=a_{k}-a_{0}$, we have $\left|a_{k-1}\right| \leqslant\left|a_{k}-a_{0}\right|$ since $a_{k} \neq a_{0}$. This shows that $\left|a_{k}-a_{0}\right|=\left|a_{k}\right|+\left|a_{0}\right|=\left|a_{k-1}\right|$. As a consequence, we have $\left|a_{i}\right| \leqslant\left|a_{k}\right|+\left|a_{0}\right|$ for any $i$. Now we have

 \[
 \left|a_{k}\right|=\left|f\left(a_{k-1}\right)\right| \geqslant\left|a_{k}\right|\left(\left|a_{k-1}\right|^{n}-\left|a_{k-1}\right|^{n-1}-\cdots-1\right)-\left|a_{0}\right|\left(\left|a_{k-1}\right|^{n-1}+\cdots+1\right) .
 \]

 Hence

 \[
 \frac{\left|a_{k}\right|}{\left|a_{0}\right|} \leqslant \frac{\left|a_{k-1}\right|^{n-1}+\cdots+1}{\left|a_{k-1}\right|^{n}-\left|a_{k-1}\right|^{n-1}-\cdots-1} .
 \]

 Note that $\left|a_{k}\right| /\left|a_{0}\right|$ is a positive integer. If it is greater than 1 , then as $\left|a_{k-1}\right|=$ $\left|a_{k}\right|+\left|a_{0}\right| \geqslant 3$, we have

 \[
 \frac{\left|a_{k-1}\right|^{n-1}+\cdots+1}{\left|a_{k-1}\right|^{n}-\left|a_{k-1}\right|^{n-1}-\cdots-1} \leqslant \frac{3^{n-1}+\cdots+1}{3^{n}-3^{n-1}-\cdots-1}<1
 \]

 which is a contradiction. Therefore $\left|a_{k}\right|=\left|a_{0}\right|$, and so $a_{k}=-a_{0}$. This also shows that $a_{k-1}=2 a_{0}$, and by the inequality we see that $\left|a_{0}\right|=1$. With these constraints, we know that $a_{0}, \ldots, a_{n} \in\left\{a_{0},-a_{0}, 2 a_{0}\right\}$. By enumerating, we only have the possibilities $a_{0}, \ldots, a_{n}= \pm 1, \pm 2, \mp 1, \pm 2, \mp 1, \ldots, \pm 2, \mp 1$, or $a_{0}, \ldots, a_{n}= \pm 1, \mp 1, \pm 2, \mp 1, \ldots, \pm 2, \mp 1$, or $a_{0}, \ldots, a_{n}= \pm 1, \pm 2, \mp 1, \ldots, \mp 1$. For the first case, we have $n=2 t$ adn $2 a_{0}=a_{1}=$ $f\left(a_{0}\right)=-(t-1) a_{0}+2 t$, showing that $t=1, a_{0}=1$, and by plugging in $a_{1}$ we get a contradiction. For the second case, we have $n=2 t+1$ and $-a_{0}=a_{1}=f\left(a_{0}\right)=$ $(2 t+1) a_{0}-(t+1)$, which has no solutions. For the third case, if $a_{0}=1$ then we get $n=2$ and $a_{0}, a_{1}, a_{2}=1,2,-1$ by the equation $a_{1}=f\left(a_{0}\right)$, which is not a solution. Thus $a_{0}=-1$, and by plugging in $a_{0}$ we also get a contradiction.

 The remaining case is $a_{n}=a_{0}$. If $a_{n}=a_{n-1}$, then we must have $a_{0}=\cdots=a_{n}$. By plugging in $a_{0}$ we have $a_{0}^{n+1}+\cdots+a_{0}^{2}=0$, and so $a_{0}=-1$ and $n$ is even. Now assume that $a_{n} \neq a_{n-1}$. Then $a_{n}, a_{n-1}$ are the endpoints of $I_{n+1}$. Note that if $a_{n-2}=a_{n-1}$

 then $a_{n}=a_{n-1}$, which is a contradiction. Therefore $a_{n-2}, a_{n-1}$ are also endpoints of $I_{n+1}$. By induction we may show that $a_{k}, a_{k-1}$ are the endpoints of $I_{k+1}$. As $a_{0} \neq 0$, we must have $a_{n}=a_{n-2}=\cdots=a_{0}$, and so $n$ is even. This shows that $a_{n-1}=\cdots=a_{1}$. Now we have

 \[
 a_{0}^{n+1}+a_{0}^{n-1} a_{1}+\cdots+a_{0}^{3}+a_{0} a_{1}+a_{0}=a_{1}
 \]

 and

 \[
 a_{0} a_{1}^{n}+a_{1}^{n}+\cdots+a_{0} a_{1}^{2}+a_{1}^{2}+a_{0}=a_{0}
 \]

 The latter can be rewritten as $\left(a_{0}+1\right)\left(a_{1}^{n-2}+a_{1}^{n-4}+\cdots+1\right)=0$. Therefore $a_{0}=-1$ or $a_{1}=-1$. If $a_{0}=-1$, then $-\left(a_{1}+1\right) n / 2-1=a_{1}$, or equivalently, $\left(a_{1}+1\right)(n+2)=0$. This shows that $a_{1}=-1$, which was already obtained above. If $a_{1}=-1$, then the first equation gives $a_{0}^{n+1}=-1$ and so $a_{0}=-1$ too.

 In conclusion, all the solutions are: $n=1$ with $\left(a_{0}, a_{1}\right)=(2,-2) ; n=2$ with $\left(a_{0}, a_{1}, a_{2}\right)=(-1,1,3)$; or $n$ even with $a_{0}=\cdots=a_{n}=-1$.","(Incorrect)
 1. We do not give partial credits for handling the cases when $n$ is small.
(Partial)
 1. Observed that $a_k$ should be greater or less than all $a_0, \ldots, a_{k-1}$.
 2. Dealt with the case $a_n = a_0$.
 3. Any other useful observation regarding behavior of the sequnece $(a_i)$ which is useful in the possible solution.
(Almost)
 1. Solution is almost complete, but made minor mistakes which are not negligible.",Algebra,IMO-medium,"$n=2$ with $\left(a_{0}, a_{1}, a_{2}\right)=(-1,1,3)$","(Modified)  Taiwan TST 2024, 3J Day2 P6"
PB-Basic-008,"Let $a,b,c$ be positive reals such that $a+b+c = 1$, prove that $\sqrt{a}+\sqrt{b}+\sqrt{c} \geq 3\sqrt{3}(ab+bc+ca)$.","Renormalizing, we may suppose $a + b + c = 3$ and show $\sqrt{a}+\sqrt{b}+\sqrt{c} \geq ab+bc+ca$. Note that $\sqrt{a}+\sqrt{b}+\sqrt{c} \geq ab+bc+ca$ is equivalent to $2\sqrt{a}+2\sqrt{b}+2\sqrt{c} \geq 2ab+2bc+2ca \Leftrightarrow a^2+2\sqrt{a}+b^2+2\sqrt{b}+c^2+2\sqrt{c} \geq a^2+2ab+b^2+2bc+c^2+2ca = (a+b+c)^2$. The inequality is now equivalent to the inequality $a^2+2\sqrt{a}+b^2+2\sqrt{b}+c^2+2\sqrt{c} \geq 9$. Observe that from AM-GM, we have $a^2+\sqrt{a}+\sqrt{a} \geq 3a$. Similarly, we have $b^2+\sqrt{b}+\sqrt{b} \geq 3b$ and $c^2+\sqrt{c}+\sqrt{c} \geq 3c$. Adding these together, we have $a^2+2\sqrt{a}+b^2+2\sqrt{b}+c^2+2\sqrt{c} \geq 3(a+b+c) = 9$. Hence proved.","(Partial)
 1. Reduced the inequality to a more managable form so that one can complete the proof by applying one of the well-knnown inequalities (e.g., Cauchy-Schwarz, AM-GM, Muirhead, or Schur)
(Almost)
 1. Made a minor mistake when applying an inequality, or skipped rigorous justification for such a step.",Algebra,pre-IMO, ,(Modified) All-Russia MO 2002.
PB-Basic-009,"Let $a_1,a_2,...,a_{18}$ be 18 real numbers, not necessarily distinct, with average $m$. Let $A$ denote the number of triples $1 \le i < j < k \le 18$ for which $a_i + a_j + a_k \ge 3m$. What is the minimum possible value of $A$?","I claim the answer is $136$. Take the construction $17, -1,...,-1,-1,-1,-1,-1,-1,-1,-1$, which clearly works.
 Now I will show that this is the minimum. For any partition of $\{a_1, a_2, ..., a_{18}\}$ into six triplets, at least one triplet must satisfy that $a_i + a_j +a_k \ge 0$.
 Therefore there are $\frac{18!}{(3!)^6 6!}$ partitions, and a fixed triplet is contatined in $\frac{15!}{(3!)^5 5!}$ partitions, so there are at least $\frac{18!}{(3!)^6 6!}/\frac{15!}{(3!)^5 5!} = 136$ partitions satisfying the condition.","(Partial)
 1. Guessed the answer $136$, and constructed the equality case.
(Almost)
 1. Solution is almost complete, but made minor mistakes which are not negligible.",Combinatorics,IMO-easy,$136$,(Modified) ELMO 2013
PB-Basic-010,"The numbers $\{ 1, 2, 3, \ldots , 2022 \}$ are partitioned into two sets $A$ and $B$ of size $1011$ each. Let $S_{AB}$ denote the set of all pairs $(a, b) \in A \times B$ where $a < b$, and let $S_{BA}$ denote the set of all pairs $(a, b) \in A \times B$ where $b < a$.

 Prove that $\sum_{(a, b) \in S_{AB}} (b - a) \neq \sum_{(a, b) \in S_{BA}} (a - b)$.","Let $X = \sum_{(a, b) \in S_{AB}} (b - a)$, $Y=\sum_{(a, b) \in S_{BA}} (a -b)$ and $Z=X-Y$. We first analyze the case where all elements of $A$ are smaller than all elements of $B$. In that case, $S_{BA} = 0$, and
 \[ X = \sum_{i = 1012}^{2022} \sum_{j = 1}^{1011} (i - j) = 1011 \cdot \left(\sum_{i = 1012}^{2022} i - \sum_{j = 1}^{1011} j \right) = 1011^3, \]
 and so $Z = 1011^3$.

 Now, arrange the numbers $1$ to $2022$ on a line in increasing order from left to right, and consider how the quantity $Z$ changes if we swap the set of two adjacent numbers, where the left number is in $A$ and the right number is in $B$. Let $A_l$ and $B_l$ be the number of numbers from $A$ and $B$ to the left of this adjacent pair, and similarly let $A_r$ and $B_r$ be the number of numbers from $A$ and $B$ to the right of this adjacent pair,

 First think of how $X$ changes. By moving the number from $A$ one unit to the right, we decrease each $A$-$B$ segment of $B_r$ by one unit. By moving the number from $B$ one unit to the left, we shorten each $A$-$B$ segments of $A_l$ by one unit. Also, we eliminated the length-1 $A$-$B$ segment formed by the swapped points themselves. Thus, $X$ decreases by $B_r + A_l + 1$.

 Similarly, $Y$ increases by $A_r + B_l + 1$, after the swap. Thus, $Z$ decreases by $B_r + R_l + B_r + B_l + 2 = 2022$.

 Now, starting from the initial configuration where all the 1011 left-most points are $A$, we can reach any other configuration by a series of swaps of adjacent pairs, where the left number is $A$ and the right number is $B$. In the initial configuration, we have $Z = 1011^3$, and it decreases by $2022$ with each swap. Thus, $Z$ always remains an odd number, so it can never be zero. We conclude that $X \neq Y$.","(Partial)
 1. Found and proved that the parity of the difference is invariant
 2. Found an invariant equivalent to it and proved that it is indeed an invariant.
(Almost)
 1. Solution is almost complete, but made minor mistakes which are not negligible.",Combinatorics,IMO-easy, ,"(Modified) Tournament of Towns, Fall 2022 Senior O-level, P3"
