problem_id	level	category	score	final_source
PB-Advanced-001	IMO-easy	Algebra	7	select:R0(4/4)
PB-Advanced-002	IMO-medium	Combinatorics	1	select:R1(3/4)
PB-Advanced-003	IMO-hard	Geometry	1	select:R0(4/4)
PB-Advanced-004	IMO-easy	Combinatorics	6	select:R1(2/4)
PB-Advanced-005	IMO-medium	Geometry	1	select:R1(4/4)
PB-Advanced-006	IMO-hard	Algebra	1	select:R1(3/4)
PB-Advanced-007	IMO-easy	Algebra	7	select:R0(2/4)
PB-Advanced-008	IMO-medium	Number theory	1	select:R0(3/4)
PB-Advanced-009	IMO-hard	Geometry	1	select:R0(2/4)
PB-Advanced-010	IMO-medium	Geometry	1	select:R1(4/4)
PB-Advanced-011	IMO-medium	Algebra	1	fallback_no_refined
PB-Advanced-012	IMO-hard	Number theory	6	select:R0(2/4)
PB-Advanced-013	IMO-easy	Algebra	1	select:R0(3/4)
PB-Advanced-014	IMO-medium	Combinatorics	7	select:R1(2/4)
PB-Advanced-015	IMO-hard	Geometry	1	select:R0(3/4)
PB-Advanced-016	IMO-easy	Geometry	1	select:R2(3/4)
PB-Advanced-017	IMO-easy	Number theory	7	select:R2(4/4)
PB-Advanced-018	IMO-hard	Combinatorics	0	select:R0(4/4)
PB-Advanced-019	IMO-easy	Algebra	7	select:R0(3/4)
PB-Advanced-020	IMO-medium	Number theory	1	select:R0(2/4)
PB-Advanced-021	IMO-hard	Combinatorics	1	select:R2(4/4)
PB-Advanced-022	IMO-easy	Geometry	7	select:R2(3/4)
PB-Advanced-023	IMO-medium	Combinatorics	0	select:R0(4/4)
PB-Advanced-024	IMO-hard	Algebra	1	select:R2(3/4)
PB-Advanced-025	IMO-easy	Number theory	7	select:R0(3/4)
PB-Advanced-026	IMO-medium	Algebra	1	select:R2(3/4)
PB-Advanced-027	IMO-hard	Combinatorics	0	select:R1(3/4)
PB-Advanced-028	IMO-easy	Geometry	7	select:R2(2/4)
PB-Advanced-029	IMO-medium	Number theory	1	select:R2(4/4)
PB-Advanced-030	IMO-hard	Combinatorics	1	select:R2(4/4)
PB-Basic-001	IMO-easy	Algebra	7	select:R0(4/4)
PB-Basic-002	pre-IMO	Algebra	7	select:R1(3/4)
PB-Basic-003	IMO-easy	Algebra	7	select:R0(2/4)
PB-Basic-004	IMO-easy	Algebra	7	select:R1(3/4)
PB-Basic-005	IMO-easy	Algebra	7	select:R0(3/4)
PB-Basic-006	IMO-medium	Algebra	1	select:R2(4/4)
PB-Basic-007	IMO-medium	Algebra	7	select:R1(2/4)
PB-Basic-008	pre-IMO	Algebra	7	select:R2(3/4)
PB-Basic-009	IMO-easy	Combinatorics	1	select:R2(3/4)
PB-Basic-010	IMO-easy	Combinatorics	7	select:R2(3/4)
PB-Basic-011	IMO-easy	Combinatorics	7	select:R2(3/4)
PB-Basic-012	IMO-medium	Combinatorics	7	select:R2(4/4)
PB-Basic-013	pre-IMO	Combinatorics	7	select:R1(2/4)
PB-Basic-014	pre-IMO	Combinatorics	7	select:R0(2/4)
PB-Basic-015	pre-IMO	Combinatorics	7	select:R0(3/4)
PB-Basic-016	pre-IMO	Combinatorics	7	select:R0(4/4)
PB-Basic-017	pre-IMO	Number theory	7	select:R1(3/4)
PB-Basic-018	pre-IMO	Number theory	7	select:R1(2/4)
PB-Basic-019	IMO-easy	Number theory	7	select:R0(2/4)
PB-Basic-020	IMO-easy	Number theory	7	select:R0(3/4)
PB-Basic-021	IMO-easy	Number theory	1	select:R2(4/4)
PB-Basic-022	IMO-easy	Number theory	6	select:R2(4/4)
PB-Basic-023	IMO-medium	Number theory	7	select:R2(3/4)
PB-Basic-024	IMO-medium	Number theory	7	select:R2(3/4)
PB-Basic-025	IMO-easy	Geometry	7	select:R0(3/4)
PB-Basic-026	IMO-medium	Geometry	6	select:R0(3/4)
PB-Basic-027	IMO-easy	Geometry	7	select:R0(4/4)
PB-Basic-028	IMO-medium	Geometry	7	select:R0(2/4)
PB-Basic-029	IMO-medium	Geometry	1	select:R0(2/4)
PB-Basic-030	IMO-easy	Geometry	7	select:R1(2/4)
